,content
50,"Qatar Airways flight #QTR8174 spotted at 2,650 feet! https://t.co/muNgToAirs"
51,"@travelgenio hola, tengo billetes sin gastar contratados con vosotros para volar a Tailandia con Qatar Airways, me… https://t.co/EAm3s9RetB"
52,Qatar Airways Has Drastically Reduced Flights To Croatia https://t.co/4chQ8ShBGf
53,RT @AvionRevueInt: Qatar Airways recibió su 53º Airbus A350 https://t.co/goCveGqirH https://t.co/hFCBeG1uAH
54,Qatar Airways resumes flights to Saudi Arabia after three years https://t.co/yDJmE1slYq
55,RT @LovinSaudi_En: The First Qatar Airways Flight Since The Diplomatic Crisis Has Arrived In Riyadh https://t.co/lLxi6Rmbnh https://t.co/h0…
56,"@qatarairways I am a former Qatar Airways staff no.105337 Jainab khan . Used to work in Transfer Desk
And I’m ready… https://t.co/eqbIGhh3G0"
57,"LATAM e aérea Qatar Airways expandem acordo de codeshare

https://t.co/uTw1uHy3xc"
58,"RT @airwaysmagazine: 🌎 #NEWS | Today, Qatar Airways (@qatarairways) resumed flights to Riyadh, Saudi Arabia’s capital, with a daily service…"
59,Arabian Aerospace – Qatar Airways resumes flights to Riyadh https://t.co/RpQ0gbwI1e
60,"RT @indoflyer: Qatar Airways kembali terbang ke Riyadh 

Foto: Qatar Airways https://t.co/jxqreOxN2n"
61,@tanyainrl Trus kalo All Nippon Airways apa? Etihad airways? Qatar? Emirates?
62,RT @TanioLatamy: Bez testów i kwarantanny! Egzotyka w świetnej cenie: tydzień na Zanzibarze za 2782 PLN. Loty 5* Qatar Airways + hotel ze ś…
63,Qatar Airways receives chance for Gulf region airspace https://t.co/kf8NFRnxs1
64,"Qatar Airways dnes poprvé od roku 2017 letěl z Dauhá🇶🇦 do Rijádu🇸🇦To samé i letecká společnost Saudia, která dnes s… https://t.co/jvF1PdbD4a"
65,Qatar Airways recibió su 53º Airbus A350 https://t.co/goCveGqirH https://t.co/hFCBeG1uAH
66,Qatar Airways flight lands in Saudi Arabia for 1st time in years https://t.co/JhzTcJSlJ5 https://t.co/iemCILllfc
67,RT @breakingavnews: Qatar Airways completes first flight to Riyadh since 2017 following reopening of borders. https://t.co/evog0jzkf9 https…
68,The First Qatar Airways Flight Since The Diplomatic Crisis Has Arrived In Riyadh https://t.co/lLxi6Rmbnh https://t.co/h07BkkZ31Q
69,"Qatar Airways flight lands in Saudi Arabia for 1st time in years

https://t.co/v5uONyCSVP

#MNewsWorld #MNews https://t.co/MPNRrg2fS8"
70,"Pakai Airbus A350, Qatar Airways Terbang Perdana ke Arab Saudi setelah 3,5 Tahun https://t.co/b0DTj9h82z… https://t.co/i8kCm7zWfo"
71,"Qatar Airways, Körfez bölgesi hava sahası için şans yakaladı https://t.co/eqX9IXtDhR"
72,The resumption of direct flights between Doha and Riyadh for the first time since 2017 is the latest step towards e… https://t.co/7vYRfoo1C6
73,Qatar Airways has the best flight info/safety video.
74,RT @breakingavnews: Qatar Airways completes first flight to Riyadh since 2017 following reopening of borders. https://t.co/evog0jzkf9 https…
75,RT @breakingavnews: Qatar Airways completes first flight to Riyadh since 2017 following reopening of borders. https://t.co/evog0jzkf9 https…
76,"Qatar Airways Returns to Riyadh, Saudi Arabia https://t.co/XE2iBEYqaI"
77,@qatarairways I had been part of Qatar Airways since 12 year till blocked is there any opportunity to rejoin as part of KSA again.
78,Qatar Airways resumes flights to Riyadh https://t.co/DdzRxuTBg8
79,"RT @aviacionline: Tras el fin del bloqueo, Qatar Airways retomó su ruta a Arabia Saudita https://t.co/Z29kUzfrZm"
80,"RT @aviacionline: Tras el fin del bloqueo, Qatar Airways retomó su ruta a Arabia Saudita https://t.co/Z29kUzfrZm"
81,"Tras el fin del bloqueo, Qatar Airways retomó su ruta a Arabia Saudita https://t.co/Z29kUzfrZm"
82,RT @breakingavnews: Qatar Airways completes first flight to Riyadh since 2017 following reopening of borders. https://t.co/evog0jzkf9 https…
83,@Rajan09062800 @qatarairways Qatar Airways has worst customer service. They have dedicated team to hassle people an… https://t.co/zck6JxIqw2
84,"@v1shnuprakash @qatarairways @Airbus If possible, Please avoid Qatar airways as they have worst customer service.I… https://t.co/bxfzQhjUpr"
85,RT @routesonline: The national carriers of Qatar and Saudi Arabia will this week start adding back scheduled routes between the countries h…
86,@qrsupport @Vixtap78 They have dedicated team to cheat and to steal customer money. Worst customer service of Qatar Airways.
87,The national carriers of Qatar and Saudi Arabia will this week start adding back scheduled routes between the count… https://t.co/uJMG2NooDW
88,@jihadijonnie @BarcaUniversal @carrusel yes and bring qatar airways back
89,@pierrechenut @qrsupport Qatar airways has worst customer service. I am chasing for my refund last six months. No p… https://t.co/4mi3sq95Ry
90,@KamrulHasan06 @qrsupport True. Worst airline to travel. Waiting for my refund last six months. No positive outcome… https://t.co/ffAZSwyudO
91,@v_es_doubleyou @qrsupport Qatar airways has worst customer service. I am struggling for my refund last six months.
92,"#NEWS | Today, Qatar Airways resumed flights to Riyadh, Saudi Arabia’s capital, with a daily service to the largest… https://t.co/SPkUd8iLKQ"
93,@KabindraMalla @qrsupport @qatarairways They have dedicated team in place to steal people money. I am waiting for m… https://t.co/559mYPY5wu
94,RT @breakingavnews: Qatar Airways completes first flight to Riyadh since 2017 following reopening of borders. https://t.co/evog0jzkf9 https…
95,RT @breakingavnews: Qatar Airways completes first flight to Riyadh since 2017 following reopening of borders. https://t.co/evog0jzkf9 https…
96,"RT @raisinganchor: SAUDIA &amp; Qatar Airways resume flight operations between the two nations:

• Qatar Airways A350-1041 [A7-ANP]
• SAUDIA A3…"
97,@Mfkhatri2 @qatarairways Qatar airways has worst customer service. I have contacted for my refund during last six m… https://t.co/pXAWCKL9y9
98,RT @breakingavnews: Qatar Airways completes first flight to Riyadh since 2017 following reopening of borders. https://t.co/evog0jzkf9 https…
99,@MedianoFodbold 8 minutter tog det. Brugte endda 2 af dem på at skrive at jeg f.eks. ikke synes I bør indgå sponsor… https://t.co/y96PyAacWx
